entre, between
robes, dresses
lili, lili
italien, Italian
soirs, night
séparer, separate
médecins, doctors
agathe, agate
veuve, widow
tira, fired
terreur, terror
répéta, repeated
principale, main
oubli, oblivion
lisait, read
intéressés, interested
essai, test
agréable, nice
tue, kills
successives, successive
diffusion, diffusion
besson, twin
sections, sections
religieuses, religious
regardez, look
pleines, full
matériaux, material
ingénieur, engineer
guide, guide
globale, overall
coins, corners
bottes, boots
transformer, transform
détermination, determination
assistance, assistance
partage, sharing
loisir, leisure
inspecteur, inspector
autrui, others
prépare, prepares
opposé, opposite
mécaniques, mechanical
fesses, buttocks
fermés, closed
trouvais, found
nullement, no
valable, valid
prêtre, priest
plante, plant
conceptions, designs
universelle, Universal
recettes, income
proie, prey
orage, storm
fatigué, tired
examiner, examine
arabe, Arabic
transmission, transmission
royal, royal
index, index
impatience, impatience
ampleur, magnitude
sourcils, eyebrows
relatives, on
lança, launched
justifier, justify
dizaine, decade
disaient, said
côtes, ribs
bernard, bernard
traités, treated
penses, think
frontières, borders
aimerais, would like
symbole, symbol
quartiers, neighborhoods
herbes, herbs
messe, mass
installer, install
coupable, guilty
brusque, sudden
offrait, offered
manqué, missed
lame, blade
véritables, real
inconnue, unknown
correspondance, correspondence
cigarettes, cigarettes
billet, ticket
satisfait, satisfied
limité, limited
dubreuilh, Dubreuilh
attendais, expected
volets, components
tiède, lukewarm
respirer, breathe
préfet, prefect
permanente, permanent
parla, spoke
manquer, miss
inspiration, inspiration
vivement, sharply
relief, relief
marc, marc
endroits, locations
chaises, chairs
ongles, nails
marchand, dealer
fortes, Strong
flanc, flank
déclaration, statement
toilette, toilet
sombres, dark
salariés, employees
moralité, morality
ferai, will
crut, believed
vitres, windows
taire, silence
systématique, systematic
saisi, grasped
rêver, dream
prévenir, prevent
neuve, new
fur, as
analogues, similar
amélioration, improvement
terrains, grounds
sagesse, wisdom
relever, raise
plancher, floor
partant, thus
musées, museums
applications, applications
alliance, alliance
préférence, preference
noble, noble
mortes, dead
bouteilles, bottles
béton, concrete
appelée, called
thèse, thesis
thème, theme
sévère, severe
envoie, sends
demandes, Applications
critiques, critical
verts, green
tournée, tour
toulouse, toulouse
samedi, Saturday
merveilleux, wonderful
disciplines, disciplines
congrès, congress
certificat, certificate
passions, passions
cinquième, fifth
livrer, deliver
concert, concert
tirait, fired
suivit, followed
pénétrer, penetrate
outils, tools
ouais, yeah
nuage, cloud
modalités, terms
mathématique, mathematical
lâche, coward
indications, indications
atteinte, reached
terrestre, terrestrial
soupe, soup
obstacle, obstacle
mange, eats
conclusions, Conclusions
cadavre, corpse
bâtiment, building
aviez, had
océan, ocean
nette, clear
meuble, cabinet
grain, grain
détruire, destroy
comble, packed
colonnes, Columns
suffisante, sufficient
sauvages, wild
salaire, salary
rouler, roll
racine, root
posait, posed
lewis, lewis
rotation, rotation
dommage, damage
discuter, discuss
conférence, conference
riait, laughed
personnels, personal
crédits, credits
puits, well
odeurs, odors
fondamental, fundamental
films, movies
berlin, Berlin
atlantique, Atlantic
apparente, apparent
accords, agreements
voulaient, wanted
traversé, crossed
savant, scientist
jacquemort, Timortis
ira, will
dessins, drawings
arrêtait, stopped
suivent, follow
paire, pair
majesté, majesty
lucie, lucie
suivie, followed
strasbourg, strasbourg
raymond, raymond
modifier, change
filet, net
comprit, understood
solaire, solar
sensiblement, significantly
réussit, successful
récente, recent
accompagne, accompanies
participer, participate
offert, offered
marchandises, goods
communistes, Communists
voient, see
régler, adjust
inscription, registration
harmonie, harmony
entrait, entered
engager, engage
conservation, preservation
clara, clara
surplus, surplus
préparé, prepared
poussa, pushed
ponts, bridges
directions, directions
antique, ancient
reflet, reflection
patricia, patricia
modes, modes
maintien, maintenance
magique, magic
légende, legend
grèce, Greece
franc, frank
profondes, deep
préoccupations, concerns
coton, cotton
coordination, coordination
salles, rooms
prudence, caution
poils, pile
matériels, materials
limitée, limited
juridique, legal
hall, hall
chaînes, chains
spéciales, Special
devrais, should
combinaisons, combinations
stabilité, stability
réduite, reduced
flot, flood
choisis, selected
sépare, separates
profiter, benefit
parcours, course
formidable, wonderful
employer, use
bénéfice, profit
réponses, answers
pré, meadow
orchestre, orchestra
immenses, immense
exact, exact
cadeau, gift
arrivés, arrived
robinson, robinson
gravité, severity
gagne, wins
février, February
envisager, consider
documentation, documentation
concevoir, design
allusion, allusion
universel, universal
spécifique, specific
nôtre, our
furieux, furious
chérie, dear
calculs, calculations
vaches, cows
minuit, midnight
maire, mayor
intimité, privacy
façade, façade
contenant, containing
campagnes, campaigns
wolf, wolf
surveillance, surveillance
reins, kidney
propriétaires, owners
planète, planet
perfection, perfection
décidément, decidedly
brun, brown
statue, statue
rené, rené
profil, profile
fureur, fury
document, document
client, customer
aiment, like
vache, cow
soutenir, support
regret, regret
four, oven
expliqua, explained
coude, elbow
ténèbres, darkness
roux, red
pétrole, oil
meurt, dies
façons, ways
embrasse, embrace
destiné, destined
airs, air
véhicules, vehicles
sacrifice, sacrifice
poursuit, continues
obligatoire, mandatory
hésita, hesitated
continuité, continuity
solides, solid
servent, serve
colline, hill
carrefour, crossroads
aventures, adventures
venons, just
professionnelles, professional
installation, installation
considérables, considerable
commis, committed
apparut, appeared
voisinage, neighborhood
regardais, watching
provisoire, provisional
essayait, trying
espérance, hope
dynamique, dynamic
couronne, crown
chante, sings
affirme, says
promener, walk
placés, placed
môme, kid
exprès, express
collines, hills
collectif, collective
belgique, Belgium
alimentation, supply
traditions, traditions
the, the
souple, flexible
siens, his
prenaient, took
possèdent, have
grecs, Greek
couvre, covers
copain, boyfriend
conclure, conclude
alexandre, alexandre
locale, Local
individuelle, Individual
impulsion, pulse
esthétique, aesthetic
encre, ink
constant, constant
connaissent, know
camion, truck
adaptation, adaptation
techniciens, technicians
peint, painted
montrant, showing
concrète, concrete
churchill, churchill
casquette, cap
sache, know
moscou, Moscow
jupe, skirt
firmes, firms
accepte, accepts
trucs, tips
tragique, tragic
remise, discount
putain, whore
naguère, once
lits, beds
gabrielle, gabrielle
drifter, drifter
communs, common
agence, agency
retenu, retained
réputation, reputation
occident, occident
mirent, set
dits, said
désirs, desires
substances, substances
nourrir, feed
mouches, Flies
jure, swear
drap, sheet
prouver, prove
producteurs, producers
mène, leads
clinique, clinical
chercheurs, researchers
brune, brown
brise, breeze
bordeaux, burgundy
arthur, arthur
poussant, pushing
douter, doubt
contemporains, contemporary
raisonnable, reasonable
précises, accurate
poétique, poetic
payé, paid
manoeuvre, maneuver
essor, development
dialogue, dialogue
utilisée, used
savaient, knew
massif, massive
joueur, player
intéressé, interested
chargée, loaded
prenez, take
pouce, inch
occupait, occupied
attendaient, expected
vase, vase
uranium, uranium
parles, talk
mythe, myth
intervient, intervenes
attache, clip
aboutit, results
quotidienne, daily
portaient, were
définit, defines
jetait, cast
cultures, cultures
considérations, considerations
connaissez, know
circulaire, circular
utiles, useful
tirant, pulling
quatorze, fourteen
poussait, pushed
liés, related
cristal, crystal
avançait, advanced
automatique, automatic
washington, Washington
télégramme, telegram
sensibles, sensitive
secondaires, secondary
précédente, previous
eussent, had
disposer, dispose
proportions, proportions
philosophe, philosopher
lent, slow
inférieur, lower
géographique, geographical
descendait, down
débuts, infancy
conversations, conversations
plats, dishes
laver, wash
idiot, idiot
franchement, honestly
dirai, say
tiroir, drawer
gouvernements, governments
difficilement, with difficulty
crème, cream
courait, ran
coefficient, coefficient
aptitude, fitness
vêtu, dressed
renaissance, renaissance
plomb, lead
collectivités, communities
chocolat, chocolate
chevalier, knight
aboutir, lead
tentative, attempt
sylvie, sylvie
souliers, shoes
intéresser, interest
fourni, provided
explosion, explosion
dépasser, exceed
continu, continuous
compréhension, comprehension
admet, admits
utilisant, using
trompe, trunk
taillis, coppice
rufus, rufus
prononcer, pronounce
pile, battery
monta, went up
immédiate, immediate
dispositif, device
ambition, ambition
tenez, hold
sympathie, sympathy
mlle, Ms.
fontaine, fountain
apprécier, appreciate
courante, current
considérablement, greatly
commencement, beginning
bronze, bronze
arrivent, arrive
sérieusement, seriously
regardaient, watching
naturels, natural
levée, lifting
club, club
circuit, circuit
ballon, balloon
viendra, will
tempête, storm
surfaces, surfaces
simultanément, together
raide, steep
expliqué, explained
eti, eti
assurée, provided
variation, variation
urbain, urban
tomba, fell
imbécile, idiot
scènes, scenes
puissante, powerful
propagande, propaganda
palier, level
gosse, kid
flux, flow
caresse, caress
accueil, welcome
forts, Strong
fierté, pride
défaite, defeat
balcon, balcony
attaché, attached
rentrée, return
planches, boards
penche, looks
officiel, official
marge, margin
entouré, surrounded
correspondent, match
vus, seen
ruines, ruins
organique, organic
loup, wolf
japon, Japan
boulot, job
vertes, green
remords, remorse
rechercher, search
magnifique, magnificent
financière, financial
destinés, for
descendit, down
décide, decides
connues, known
assister, assist
allées, walkways
néant, nil
divine, divine
diminution, decrease
apparaissait, appeared
spécialisés, specialized
répétait, repeated
parisienne, Paris
pape, pope
lutter, fight
immobiles, immobile
fabrique, factory
dollars, dollars
communiste, Communist
voyageur, traveler
reproche, reproach
professionnel, professional
moyennes, medium
magnétique, magnetic
légumes, vegetables
disparaît, disappears
plate, flat
pavillon, pavilion
marquer, mark
indispensables, essential
enceinte, pregnant
effectuer, do
effectifs, workforce
coffre, trunk
appelés, called
traditionnelle, traditional
restant, remaining
préféré, favorite
lisse, smooth
fonctionnaire, official
bouquet, bouquet
volumes, volumes
rompre, break
pénombre, penumbra
partager, share
matinée, morning
ier, st
développés, developed
buts, goals
vocabulaire, vocabulary
supposer, assume
schéma, diagram
réels, real
pleure, cry
oeuf, egg
intellectuelle, intellectual
exercices, exercises
contacts, Contacts
témoignage, testimony
semi, semi
réveil, revival
environs, surroundings
brève, brief
accorder, grant
réunis, together
légers, light
explications, explanations
constructions, constructions
citoyens, people
bonhomme, fellow
accompli, accomplished
vertige, vertigo
procéder, proceed
marquée, marked
japonais, Japanese
emporte, wins
casser, break
appartenant, belonging
tissus, tissue
retrouvait, found
réalisée, performed
progression, progression
pénible, painful
fantôme, ghost
dizaines, tens
convaincre, convince
choeur, choir
emporter, take
classement, ranking
barque, bark
treize, thirteen
toiles, paintings
gants, gloves
basses, low
soyez, be
promesse, promise
julie, julie
introduire, introduce
grains, grains
courtes, short
augmenter, increase
villa, villa
conquête, conquest
brillant, brilliant
probabilité, probability
gardes, guards
fixés, fixed
extérieure, external
déplacement, displacement
comités, Committees
civile, Civil
remit, handed
publié, published
paraissaient, seemed
magasins, stores
compétence, competence
varie, varies
rendent, make
raisonnement, reasoning
publication, publication
mensonge, lie
levait, rose
largeur, width
lancé, launched
excitation, excitement
dort, sleeps
destinées, for
demie, half
coûts, costs
ancêtres, ancestors
amener, bring
voisines, neighboring
rhin, Rhine
prisonnier, prisoner
concept, concept
canne, cane
banlieue, suburb
avoue, admits
enlever, remove
dirigeants, leadership
attributions, allocations
trouvera, find
regardent, watch
méditerranée, Mediterranean
maîtrise, control
lenteur, slowness
haussa, shrugged
germain, germain
coeurs, hearts
ateliers, workshops
aile, wing
travaillait, worked
prévisions, forecast
précautions, precautions
mers, seas
madeleine, madeleine
désigner, designate
députés, MPs
vitesses, speeds
sembla, seemed
rendit, made
recul, recoil
plaques, plates
ooooo, ooooo
obus, shell
mouchoir, handkerchief
mémé, granny
juliette, juliette
fixée, fixed
appartiennent, belong
acides, acids
mètre, meter
métallique, metallic
malaise, discomfort
lion, lion
intellectuel, intellectual
franchir, cross
congé, leave
charlotte, charlotte
anges, Angels
ultime, ultimate
sentier, trail
sacrée, sacred
revers, back
pencha, bent
joyeux, merry
immédiat, immediate
examens, examinations
continua, continued
conflits, conflicts
réveiller, wake up
meilleures, best
irai, go
individuel, individual
fraction, fraction
culotte, panties
cabine, cabin
bertrand, bertrand
bec, beak
appétit, appetite
aîné, elder
agitation, agitation
acheté, purchased
scandale, scandal
puissants, powerful
proposer, offer
présentait, presented
panier, basket
développe, develops
chrétienne, Christian
calculer, calculate
assaut, assault
témoins, witnesses
succession, succession
pipe, pipe
historiens, Historians
cailloux, pebbles
appellent, call
vice, vice
strictement, strictly
organisé, organized
loire, Loire
inscrit, registered
administrations, administrations
zéro, zero
variétés, variety
tronc, trunk
rappelait, recalled
obscure, obscure
intégration, integration
couverts, cutlery
banques, banks
solidarité, solidarity
rumeur, rumor
rois, Kings
réponds, answer
pareils, like
nocturne, nocturnal
métaphysique, metaphysical
culturel, cultural
apprend, learns
vertus, virtues
touristes, Tourists
soulève, raises
posséder, have
pères, fathers
lucile, lucile
librement, freely
immeubles, buildings
favorables, favorable
dramatique, dramatic
diriger, direct
complémentaires, Additional
brutalement, roughly
symboles, symbols
manivelle, crank
ignorance, ignorance
hôpitaux, hospitals
complexité, complexity
marée, tide
grade, grade
courrier, mail
cérémonie, ceremony
signal, signal
roule, rolls
retirer, withdraw
religions, religions
logement, housing
kilos, pounds
intuition, intuition
genève, Geneva
fines, fine
dise, say
courbes, curves
contrainte, constraint
ardeur, ardor
aiguille, needle
achat, purchase
refusé, refused
plaisirs, pleasure
permanent, permanent
perdus, lost
leni, leni
excuse, excuse
civilisations, Civilization
christianisme, Christianity
canons, guns
sélection, selection
recrutement, recruitment
quotidien, daily
possédait, had
penché, leaning
marx, marx
marchant, Walking
fidélité, fidelity
excellence, excellence
essentiels, essential
chansons, songs
brave, brave
autonomie, autonomy
augmente, increases
atome, atom
voler, fly
tribunal, court
symbolique, symbolic
parlez, talk
honnête, honest
durer, last
définie, defined
comprenez, understand
centimètres, centimeters
artistique, artistic
tablier, apron
responsabilités, responsibilities
réservé, reserved
diamètre, diameter
dégoût, disgust
restés, remained
ouvrant, opening
incendie, fire
globe, globe
crever, burst
chrétien, Christian
résister, resist
rejoint, joined
présenté, presented
plumes, feathers
mangé, eaten
finissait, ended
créateur, creator
accidents, accidents
soucis, troubles
pressé, pressed
pompe, pump
nucléaires, nuclear
distances, distances
crépuscule, dusk
coût, cost
contradiction, contradiction
contemporaine, Contemporary
arabes, Arab
trains, trains
tendue, tense
subi, sustained
oppose, opposed
moustache, mustache
extérieurs, external
deviner, guess
crises, crises
stratégie, strategy
prévision, forecast
paquets, packets
motif, pattern
indice, index
flic, cop
dialectique, dialectic
blond, blonde
architecture, architecture
tromper, deceive
régimes, Plans
auras, get
admission, admission
vaisselle, dishes
serviette, towel
pureté, purity
partit, left
panique, panic
osé, dared
noblesse, nobility
mystique, mystical
genres, genres
foie, liver
dresser, draw up
deuil, mourning
salaud, bastard
posés, posed
habitait, lived
démonstration, demonstration
adélaïde, Adelaide
visiblement, visibly
stavroguine, stavrogin
philosophes, philosophers
intervalle, interval
contrairement, unlike
accompagné, accompanied
régulier, regular
imaginaire, imaginary
divin, divine
dépôt, deposit
demandai, asked
composés, compounds
céder, yield
carreaux, tile
autorisation, authorization
aurez, will
arbitraire, arbitrary
pacifique, peaceful
minuscules, tiny
emplois, jobs
directeurs, Directors
spéciaux, Special
sortis, out
sièges, seating
séparés, separated
racontait, told
provoque, causes
propagation, spread
prêter, lend
poèmes, poems
inès, inès
crayon, pencil
craindre, fear
aurons, will
américaines, U.S.
ambassadeur, ambassador
suffisant, sufficient
stations, stations
romain, Roman
progressive, progressive
privilège, privilege
paisible, peaceful
légitime, legitimate
guillaume, guillaume
forcé, forced
fondé, based
discussions, discussions
populaires, Popular
galerie, gallery
couvrir, cover
boeuf, Beef
amoureuse, in love
saints, Saints
relais, relay
quarts, quarts
hésite, hesitate
gazette, gazette
désire, wishes
cravate, tie
carlos, carlos
antiquité, antiquity
venues, come
remplacé, replaced
plis, folds
léon, leon
intermédiaires, intermediate
geneviève, geneviève
tendant, tending
sourd, deaf
navigation, navigation
exposition, exposure
conclut, concludes
capitalisme, capitalism
violent, violent
prouve, proves
peintres, painters
ménager, spare
lortier, Lortier
facilité, ease
durs, hard
concepts, concepts
compagnies, companies
cap, cape
brûle, burns
ballet, ballet
traite, milking
traîner, drag
surcroît, Moreover
rites, rites
passages, passages
lampes, lamps
jeanne, Jane
entrepris, undertaken
confort, comfort
bombe, bomb
utilité, utility
résolution, resolution
garantie, warranty
familiale, domestic
demandais, asked
cesser, stop
saute, jumps
redoutable, formidable
innocence, innocence
devraient, should
battant, beating
anti, anti
accorde, grants
xviie, seventeenth
traduire, translate
reçut, received
installations, facilities
fédération, federation
espagnol, Spanish
condamné, condemned
comportant, with
autobus, bus
utilisées, used
smith, smith
seras, will be
obstacles, obstacles
identique, identical
demeurait, remained
coutume, custom
confondre, confound
aborder, approach
supplémentaire, additional
sales, dirty
représentait, represented
paroi, wall
infirmière, nurse
excellent, excellent
drapeau, flag
commissariat, police station
charlie, charlie
bat, beats
alby, alby
venais, had just
révélation, revelation
résolu, resolved
régulière, regular
préalable, prior
ouvrière, working
insectes, insects
finale, final
entendais, heard
coopération, cooperation
apportait, brought
anna, anna
adopté, adopted
tranchée, trench
relevé, statement
oblige, requires
maria, maria
inquiet, worried
industrielles, industrial
engagement, commitment
aurions, would have
appartenait, belonged
quitta, left
productivité, productivity
preuves, evidence
prétend, claims
entraînement, training
démocratie, democracy
traîne, train
restes, remains
poings, fists
plaisait, liked
nues, bare
ignorait, unknown
conventions, conventions
cloche, bell
avocat, lawyer
aimée, loved
aimable, kind
successifs, successive
retrouva, found
représentations, representations
rends, go
proposa, proposed
poignet, wrist
peindre, paint
mont, mount
métaux, metals
mauvaises, bad
fondamentales, fundamental
travaillé, worked
subit, sudden
reflets, reflections
hectares, hectares
déserte, deserted
convaincu, convinced
conservé, preserved
communications, communications
affreux, awful
spectre, spectrum
ramène, back
primaires, primary
municipal, municipal
laura, laura
indifférent, indifferent
habite, lives
comptabilité, accounting
bâton, stick
attendent, expect
amuse, Fun
amants, lovers
actif, active
revolver, revolver
retourné, back
marre, fed up
licence, license
josette, josette
ironie, irony
financiers, financial
absorption, absorption
visites, visits
tubes, tubing
troupeau, herd
reconnut, recognized
passants, passers
parallèles, parallel
obligations, obligations
entreprendre, undertake
chantiers, sites
administratives, administrative
silencieuse, silent
roches, rocks
normales, normal
marchands, merchants
inde, India
financier, financial
délicat, delicate
choisit, chooses
apparences, appearances
sergent, sergeant
présentation, presentation
offrent, offer
matérielle, material
hausse, increase
gardien, guardian
compromis, compromise
chercha, sought
biologique, biological
soupira, sighed
souffre, suffers
proximité, proximity
orange, orange
nomme, appoints
manifestation, event
inévitable, inevitable
gaieté, merriment
familiales, Family
débarrasser, rid
catastrophe, disaster
tentation, temptation
passées, past
identiques, identical
conducteur, driver
chatte, pussy
battait, beat
agustin, agustin
tranquillement, quietly
pologne, Poland
permanence, permanence
hôtels, hotels
glissa, slipped
entretenir, maintain
enseignements, lessons
conforme, consistent
comprennent, include
comportent, have
comparer, compare
commencent, begin
collèges, colleges
sortent, out
mousse, foam
lecteurs, Readers
las, las
fixes, fixed
portière, door
plaindre, complain
méfiance, distrust
loge, lodge
imaginait, imagined
hanjure, hanjure
chêne, oak
arrivant, coming
appuyé, supported
amuser, entertain
violente, violent
reprenait, resumed
relevant, under
parvenu, succeeded
mac, mac
législation, legislation
inconscient, unconscious
gêné, constrained
gendarmes, police
faisons, do
croissante, increasing
collègues, colleagues
bouton, button
serra, pressed
saisons, seasons
précédents, previous
marthe, marthe
maritime, maritime
genou, knee
fabriquer, manufacture
corte, corte
conserves, preserves
attaquer, attack
tonnage, tonnage
tirés, from
tasse, cup
singulier, singular
jouant, playing
irait, would go
humidité, humidity
combattre, fight
collectives, collective
anglo, Anglo
souplesse, flexibility
san, san
rochers, rocks
mémoires, memoirs
jus, juice
criant, crying
continent, continent
comique, comic
trajet, path
rangs, ranks
races, races
préparait, prepared
parvenait, managed
parois, walls
ignorer, ignore
ferais, would make
couloirs, corridors
chéri, darling
accroître, increase
soupir, sigh
revenant, return
reposer, rest
rentré, back
relatif, relative
mariée, married
intentions, intentions
dirige, directs
concierge, concierge
cahier, notebook
teint, dyed
prononcé, pronounced
mêle, mixes
glacé, frozen
francis, francis
constituée, up
chasseur, hunter
blouse, blouse
attirer, attract
arrêtés, arrested
ajoutait, added
administratif, administrative
tendent, tend
provenant, from
physiologie, physiology
individuelles, individual
entiers, Whole
consacré, dedicated
compliqué, complicated
attendit, waited
songer, think
ordinaires, ordinary
fermes, farms
familier, familiar
croient, believe
baisers, kisses
allongé, elongate
adversaires, opponents
rapidité, speed
opposer, oppose
fauteuils, armchairs
emmener, take
créée, created
combats, fighting
appuie, supports
visiter, visit
sphère, sphere
prévues, provided
osait, dared
médiocre, poor
douleurs, pain
couvent, convent
tendait, tended
rêvé, dreamed
poètes, Poets
partisans, supporters
expérimentale, Experimental
demandant, asking
délicate, delicate
commerciale, commercial
chronique, chronic
atomiques, atomic
améliorer, improve
sut, knew
suicide, suicide
restera, will
inventé, invented
entraîné, resulted
coule, flows
choralita, Choralita
camions, trucks
annoncer, announce
aimes, like
soumise, submitted
séances, sessions
parallèlement, in parallel
haleine, breath
escaliers, stairs
doré, golden
descendu, down
danses, dances
carnet, book
aiguilles, needles
sincère, sincere
placée, placed
oxygène, oxygen
nobles, noble
invités, guests
coûte, costs
catholiques, Catholic
amène, leads
accompagner, accompany
voûte, vault
suspension, suspension
rendus, reports
parisien, Parisian
organiques, organic
observé, observed
magie, magic
incident, incident
fragments, fragments
fantaisie, fantasy
comtesse, countess
charmant, charming
camps, camps
bicyclette, bicycle
recommencer, resume
prénom, first name
perdait, lost
mondial, global
instructions, instructions
verrons, see
médical, medical
laissée, left
grecque, Greek
douloureux, painful
dépassé, outdated
vents, wind
reçoivent, receive
modification, change
minéraux, minerals
manches, sleeves
liées, related
jarrett, jarrett
jalousie, jealousy
criait, cried
christophe, christophe
approchait, approaching
retenue, restraint
respectivement, respectively
réalisations, achievements
paysages, landscapes
normes, standards
italienne, Italian
flèche, arrow
entrent, enter
bibliothèques, libraries
aviation, aviation
victimes, casualties
sors, go out
royale, Royal
reconnais, recognize
monstre, monster
maternelle, maternal
intervalles, intervals
emploie, employs
devine, guess
cylindre, cylinder
bouts, ends
boules, bowls
avança, advanced
aliments, foodstuffs
sourde, deaf
parvient, reaches
conseiller, adviser
tut, silent
tombent, fall
rencontres, meetings
naît, born
imaginé, conceived
goûts, likes
gosses, kids
domicile, home
disparut, disappeared
desquels, which
découvrit, discovered
sauvé, saved
rampe, ramp
mystérieuse, mysterious
matelas, mattress
descente, descent
croyant, believer
conçu, designed
brûler, burn
bétail, livestock
violemment, violently
variés, varied
résultant, resultant
pleinement, fully
plainte, complaint
multiplication, multiplication
lointains, distant
glissait, slipped
curieuse, curious
contraste, contrast
cloches, bells
annonçait, announced
syndicat, union
signé, signed
servant, for
réalités, facts
psychique, psychic
perception, perception
isolé, isolated
incroyable, incredible
fixation, fixing
fameuse, famous
dons, donations
donnés, given
descendant, descendant
cons, cons
cancer, cancer
canada, Canada
betty, betty
adresser, address
trouvée, found
sols, soil
profondeurs, depths
prétendre, claim
présents, present
placard, cupboard
musiciens, musicians
isolés, isolated
essaya, tried
engagé, committed
cirque, circus
arrêtée, stopped
adapter, adapt
absent, absent
touchant, touching
superbe, superb
rapprocher, closer
partait, left
nuances, shades
géant, giant
extérieures, external
dormi, slept
détruit, destroyed
dépôts, deposits
comprenant, including
collections, collections
colle, glue
auriez, would have
joueurs, Players
italiens, Italian
gravement, seriously
fusion, fusion
final, final
confier, entrust
bancs, shoals
volontaire, voluntary
verticale, vertical
support, support
situé, situated
rude, rough
princesse, princess
planté, planted
patronne, landlady
mâle, male
indéfiniment, indefinitely
européen, European
dépense, expenditure
croissant, increasing
arguments, case
agisse, whether
rédaction, writing
réclame, claiming
copie, copy
chevelure, hair
babé, babe
abondance, abundance
titulaires, holders
rêverie, daydream
raies, rays
oreiller, pillow
max, max
incertitude, uncertainty
impossibilité, impossibility
divisions, divisions
considérés, considered
cafés, cafes
assemblées, Meetings
appela, called
rôles, roles
paume, palm
musicien, musician
merveille, marvel
juges, Judges
indiquer, indicate
circonstance, circumstance
chaux, lime
traversée, crossing
rationnelle, rational
pleurait, cried
ivre, drunk
internationales, international
guise, As
fric, money
convenable, suitable
bijoux, jewelry
bible, Bible
acteur, actor
officielle, official
littéraires, literary
inspection, inspection
discrétion, discretion
tentatives, attempts
surgir, arise
réglementation, regulation
posées, asked
philosophique, philosophical
nôtres, ours
gouverneur, governor
détachement, detachment
courts, short
complicité, complicity
cherchent, seek
signaler, report
romero, romero
originalité, originality
occasions, opportunities
nier, deny
malheurs, troubles
linguistique, linguistic
laissaient, left
essayant, trying
efforce, tries
dus, due
boutons, buttons
serrer, tighten
serrée, tight
réflexions, reflections
partiellement, partially
mathias, mathias
fout, fout
dossiers, records
développée, developed
variées, varied
réussir, succeed
précédentes, previous
posent, pose
piège, trap
parlementaire, parliamentary
original, original
gai, gay
démontrer, demonstrate
chrétiens, Christians
apercevait, seen
vraies, true
serrait, pressed
occupée, occupied
immobilité, immobility
hydrogène, hydrogen
global, overall
coulait, flowed
conférences, conferences
cabane, hut
bond, jump
tir, shooting
télé, TV
soumettre, submit
rendue, made
précaution, caution
développé, developed
appuyer, support
surveiller, monitor
stupeur, stupor
spontanément, spontaneously
socialiste, socialist
roche, rock
reproduction, reproduction
pique, pike
pasteur, pastor
nostalgie, nostalgia
monopole, monopoly
lis, lily
intéressait, interest
insuffisance, insufficiency
foutu, fucking
boit, drinks
timide, shy
sociologique, sociological
prier, pray
précédemment, previously
mélancolie, melancholy
insupportable, unbearable
financières, financial
cassé, broken
agissant, acting
whisky, whiskey
uni, united
thèmes, themes
recevait, received
quittait, left
pénètre, penetrates
coupes, cuts
abîme, abyss
zaza, zaza
sultan, sultan
souvient, remembers
ronds, round
réalise, realizes
minces, thin
menait, led
grenier, attic
exemplaires, copies
vives, bright
trame, weft
nappe, tablecloth
moindres, lower
formant, forming
filets, netting
dégage, emerges
chasser, hunt
acquérir, acquire
wallas, wallas
vieillards, old
stupide, stupid
soutien, support
romaine, Roman
internes, internal
enseigne, sign
défauts, defects
contribution, contribution
abandonnée, abandoned
trouvant, finding
tracé, route
reviens, back
quête, quest
psychanalyse, psychoanalysis
nid, nest
maigres, thin
lundi, Monday
impuissance, impotence
hanches, hips
expliquait, explained
existant, existing
essentielles, essential
endormir, sleep
emblée, immediately
douzaine, dozen
cousine, cousin
cerf, deer
attribuer, assign
algues, algae
végétaux, plant
mobiles, mobile
inconnus, unknown
entières, Whole
enfermé, confined
couverte, covered
baron, baron
voyaient, saw
souveraineté, sovereignty
souligner, stress
situe, is
réflexe, reflex
prime, premium
molle, soft
marceau, marceau
exemplaire, copy
bagnole, jalopy
autriche, Austria
vise, is
vélo, bike
veines, veins
spirituelle, spiritual
prévue, scheduled
pourrai, could
nouveauté, novelty
muette, dumb
mobile, mobile
lot, lot
effectif, effective
domination, domination
désigné, designated
ruine, ruin
pareilles, such
papillon, butterfly
moulin, mill
monuments, Monuments
impôt, tax
grimace, grin
cendres, ashes
bleues, blue
battu, beaten
traitements, treatments
super, great
refusait, refused
projection, projection
porcelaine, porcelain
permit, allowed
pensent, think
ours, bear
nés, born
monétaire, monetary
appliqué, applied
adopter, adopt
regrette, sorry
réception, reception
initiale, initial
crimes, crimes
couples, couples
cortège, procession
constituant, constituent
concret, concrete
collectivité, community
attentif, careful
ajouté, added
syrie, Syria
sinistre, sinister
sérieuse, serious
rural, rural
mouillé, wet
jeudi, Thursday
interroger, question
audace, boldness
angiolina, Angiolina
actuelles, current
abstrait, abstract
révéler, reveal
réalisés, made
patte, paw
nancy, nancy
interminable, endless
infinie, infinite
hésitation, hesitation
conduisait, driving
buste, bust
bonsoir, good evening
bonaparte, bonaparte
apport, contribution
allions, went
verras, see
traditionnel, traditional
respire, breathing
obtenue, obtained
limiter, limit
jugé, considered
hugo, hugo
arrivaient, arrived
allume, lights
achevé, completed
zénon, zeno
voulons, want
souhaite, wishes
remplit, fills
rempli, filled
prêtres, Priests
