qué what
asalto assault
enfadado angry
gano win
infeliz unhappy
oídos ears
sufrimiento suffering
político political
viniera come
rosas roses
capital capital
imperio empire
molly molly
rubia blonde
pierdes lose
conferencia conference
cantante singer
desnudo naked
cometido task
rueda wheel
prometiste promised
identificación identification
bruce bruce
robaron stolen
adecuado appropriate
arrestado arrested
invitación invitation
recibe receives
gastos expenses
miami miami
gritos shouting
llegada arrival
pecados sins
decían said
wayne wayne
traigan bring
queridos ones
tómalo take it
boston boston
sitios sites
cañón barrel
risa laughter
secretario secretary
dejaría would
haberse have
patrulla patrol
conseguiré will get
sienten feel
esperanzas hopes
vía via
básicamente basically
fiel faithful
soñando dreaming
industria industry
cuartel barracks
conoció met
morgan morgan
izquierdo left
recuerden remember
dispararon fired
margaret margaret
intente try
díselo tell
viejas old
darán will
maricón fagot
expresión expression
depósito deposit
empiezo start
descansa rests
once eleven
gallina chicken
despedido discharged
tocado touched
espérame wait for me
lily lily
lanza lance
dámelo Give it to me
esperemos hopefully
ellen ellen
llamarte call
dejame let me
monte mount
karen karen
andrew andrew
marty marty
ideal ideal
carreras racing
pico peak
terminamos end
contestar answer
empiece start
ganamos win
trabajamos work
breve brief
ruth ruth
pusiste put
míralo watch it
olvídate Forget
rastro trace
ingleses English
bailando dancing
mandar send
alternativa alternative
unidades units
dejemos let
luce looks
metal metal
jesucristo Christ
desnuda naked
ana Ann
emoción emotion
casó married
viuda widow
hermosas beautiful
refugio refuge
golpeó hit
clark clark
terror terror
criaturas creatures
alli there
evitarlo avoid
salvado bran
tirado lying
decirnos say
volvería back
armada navy
militares military
nene baby
siglos ages
disfrutar enjoy
gatos cats
buscado Search
crímenes crimes
egoísta selfish
josé josé
delito crime
salvajes wild
enviaré send
secretaria Secretary
sabíamos know
orejas ears
autoridades authorities
pastillas pills
sabor flavor
paris paris
olvido oblivion
prácticamente practically
grant grant
planeado planned
tanque tank
perdedor loser
pierre pierre
pagó paid
escape escape
tranquilízate calm
bonitas nice
máscara mask
hacías you did
conté I told
kong kong
entregar deliver
vietnam Vietnam
extrañas strange
capacidad capacity
sabrás know
payaso clown
chuck chuck
golpear hit
dragón dragon
revés back
borde edge
empleados staff
hablaste spoke
vuela flies
audiencia audience
famosa famous
octubre Oct.
aigo aigo
equipos equipment
sensible sensitive
grupos groups
cia ence
tragedia tragedy
comprende includes
rancho ranch
ensayo test
preciso accurate
oscar oscar
clínica clinic
disparos shooting
harvey harvey
rayo beam
cazar hunt
cima top
extraordinario extraordinary
galletas cookies
temperatura temperature
construcción construction
sueldo salary
actual present
profundamente deeply
gafas glasses
túnel tunnel
azules blue
ofrece offers
corran run
admitir admit
incidente incident
abril April
maria maria
sagrado sacred
disponible available
luchando fighting
efectos effects
césar Caesar
pasara pass
estadounidense U.S.
yeah yeah
presenta has
habrías would have
agosto August
estuvieras 're
mejorar improve
personalidad personality
vendedor seller
pongan put
alcanzar achieve
reacción reaction
barón baron
medias average
súper super
trate question
servirá will
heridos injured
figura figure
patrick patrick
física physics
stanley stanley
llamaron called
costado side
caos chaos
generación generation
regresado back
operaciones operations
círculo circle
monedas coins
héroes Heroes
gary gary
condesa countess
marcas brands
voto vote
abrió opened
consecuencias impact
decide decides
apostar bet
seguía was
llevaremos take
poesía poetry
antonio Anthony
salieron out
tigre tiger
análisis analysis
encargaré take care
sentarme sit
guitarra guitar
opciones options
seguiré continue
científicos scientists
existencia existence
significado meaning
conseguimos get
podria could
profesión profession
experimento experiment
davis davis
destrucción destruction
empleado employee
entrando entering
ayudo help
adultos adults
aprecio appreciation
victor victor
pudieras could
vestidos clothes
déme give me
peleas fights
remedio remedy
electricidad electricity
amarillo yellow
prostituta prostitute
habilidad ability
personales personal
encerrado enclosed
perdidos lost
rocas rocks
reverendo Rev.
quédense Stay
equivocas wrong
jersey jersey
estúpidos stupid
probado proven
propuesta proposal
arreglo arrangement
hueso bone
cuales which
mataría kill
voces voices
trozo piece
sepan know
llevé I took
serías you would
piénsalo think about
puesta setting
cadáveres bodies
consciente conscious
piezas pieces
amantes lovers
usó used
háblame tell me
hojas leaves
habrían would
vincent vincent
llevarla take
plano plane
béisbol baseball
fondos funds
policia police
políticos political
cubierto covered
lealtad loyalty
llamen call
discos discs
pedirte ask
vendido sold
pescar fish
sacrificio sacrifice
suele usually
sonríe smiles
discusión discussion
caída fall
disparado fired
conocerla know
volviste came back
salgas leave
agrada like
harold harold
peligrosa dangerous
entré I went
collar collar
moleste bother
entradas Tickets
miraba looked
logrado achieved
costó cost
ali ali
vendrás will come
producto product
falla failure
bebido drunk
pendejo stupid
tio uncle
robin robin
terroristas terrorist
auténtico authentic
mmm mmm
fantasía fantasy
inocentes innocent
salto jump
renunciar resign
katie katie
catherine catherine
tomes take
intentaba trying
champán Champagne
vigilancia surveillance
prepara prepared
marica sissy
carol carol
enojada angry
empieces start
suyos his
imaginas imagine
cabina cabin
rezar pray
fatal fatal
israel Israel
creado created
ánimo encouragement
olvidaré forget
charlotte charlotte
estupenda great
lincoln lincoln
tuyos yours
japonés Japanese
serían would
primeras first
espacial space
mereces deserve
gustar like
espaldas back
williams williams
trucos Tricks
earl earl
lewis lewis
rollo roll
traducción translation
siéntense sit
dejarla leave
bastardos bastards
haberla having
moverse move
cojones balls
quietos still
parker parker
tradición tradition
sano healthy
contando counting
prometió promised
pasear walk
big big
entendiste got it
daños damage
colegas colleagues
requiere requires
barba beard
telegrama telegram
sufrido been
empezaron started
encargado in charge
corbata tie
preparando preparing
harta fed up
habrán will
francis francis
sophie sophie
darse be
placa plate
pregunte ask
viajes travel
limpieza cleaning
reconozco recognize
funcionará work
negativo negative
francesa French
venimos come
preparada prepared
móvil mobile
stan stan
velas Candles
embajador ambassador
emociones emotions
comen eat
traición betrayal
plantas plants
sentirse feel
pierdas miss
invito invite
reyes Kings
sentencia judgment
centavo penny
canto song
caminos roads
tuvieras you had
maíz corn
pudieron could
lleven lead
cercano close
malditas damn
pierdo I lose
sonar sound
pudimos we
molestia nuisance
francamente frankly
mickey mickey
frecuencia frequency
fantástica fantastic
greg greg
comes eat
atractiva attractive
onda wave
jay jay
anciano old
saque serve
nina nina
cueva cave
usas using
cabrones bastards
informes information
prestado provided
matarán kill
investigar investigate
fama fame
papas potato
stephen stephen
idioma language
jovencita girl
comisaría station
madres mothers
quedaba was
dijimos said
convencido convinced
resultó was
ken ken
aniversario anniversary
lleguemos get
conducta behavior
cuarenta forty
apropiado appropriate
sorprendente surprising
necesite need
fracaso failure
musical musical
maquillaje makeup
cumplido accomplished
toman take
seco dry
colección collection
cuentos stories
tokio tokyo
semejante like
prefiere preferred
familiares family
bromas joking
demasiados too
guau woof
cargar load
lata can
defender defend
nancy nancy
tendríamos would
dejaremos leave
poema poem
comunista communist
aérea Air
descubrí discovered
pediste asked
jodida fucked
advierto warn
asegurarme sure
compasión compassion
lujo luxury
batería battery
caridad charity
tratan deal
jugo juice
agradecido grateful
hoja sheet
compañera companion
explica explains
comunicación communication
ataques attacks
sera will
cuartos quart
camarero waiter
congreso congress
acabará end
conociste met
bajas low
destruido destroyed
deudas liabilities
pato duck
escapado escaped
toro bull
enhorabuena congratulations
ricky ricky
diseño design
representa represents
sigamos continue
civiles civil
patas legs
dean dean
engañar deceive
bancos banks
aparecer appear
casino casino
huelga strike
lanzamiento launch
pares pairs
diera would
funcionando working
gris gray
santos Saints
bebo drink
harris harris
josh josh
algun some
almirante admiral
continúe continue
karl karl
largas long
ayudado helped
fotografías photographs
elecciones elections
desayunar breakfast
productor producer
patria homeland
explotar exploit
street street
miente lies
mostrarte show
pistas tracks
kyle kyle
logramos we
tyler tyler
rompe breaks
nuclear nuclear
inténtalo try
raymond raymond
tómate take some
satisfecho satisfied
influencia influence
louise louise
dormida asleep
mago magician
antiguos old
naranja orange
guerrero warrior
llévate Take
ayudando helping
taller workshop
horror horror
gerente manager
descubrió discovered
villa villa
entenderlo understand
mías mine
diciembre December
desaparece disappears
refería referred
movimientos movements
artistas artists
muebles furniture
corten cut
parientes kin
personajes characters
escribo write
regresen back
logro achievement
tomaste took
alumnos students
pat pat
tanques tanks
arreglarlo fix
noviembre November
cuente count
jugadores Players
pediré ask
molestar disturb
actividad activity
selva jungle
capaces able
multitud crowd
barra bar
intentamos try
encontrarla find
bodas wedding
ministerio ministry
muéstrame Show me
tercero third
acércate get close
profesora teacher
lavar wash
hoyo hole
muestras samples
colgar hang
white white
malvado evil
rutina routine
prefieres prefer
ciudadano citizen
tocó touched
vendiendo selling
medalla medal
votos votes
ronda round
oírlo hear it
daisy daisy
importaba care
considerado considered
trono throne
esclavo slave
oliver oliver
listas lists
actos acts
devolver return
monstruos Monsters
vela candle
besar kiss
marihuana marijuana
sentados sitting
olvidaste Forgot
ala wing
angeles Angels
enviaron sent
prometida fiancee
abiertos open
métete Slip
juegas play
sinceramente sincerely
quieta still
notado noticed
practicar practice
mantenga hold
reporte report
trabajé I worked
técnica technique
ponerle put
generoso generous
vigila monitors
marchar go
buscaré seek
poeta poet
ponlo put it
rita rita
virginia Virginia
abrazo hug
tarjetas cards
viera see
aceptado accepted
escuadrón squadron
permiten allow
usamos use
espíritus spirits
saldremos we will
chinos Chinese
marcus marcus
letras letters
arruinar ruin
garaje garage
siguió continued
permitido permitted
armado armed
oscura dark
típico typical
terapia therapy
creyó believed
niebla fog
enfermos sick
recursos resources
llamarlo call
uñas Nail
celos jealousy
grito shout
arco arc
buscarte get you
doug doug
rota rattan
envié sent
odias hate
convertirse turn
importan matter
jonathan jonathan
archivo archive
cretino cretin
soledad loneliness
reconocer recognize
oreja ear
màs more
peleando fighting
ross ross
recepción reception
botellas bottles
rocky rocky
sirven serve
herramientas tools
finales end
pagará pay
salía out
demasiadas too
dimos we
ordenó ordered
importar import
pedimos ask
posiblemente likely
considera considered
miré I looked
límites bounds
beth beth
mia mia
suma sum
capítulo chapter
sentarte sit
brindis toast
honestamente honestly
médica medical
seguirá will
población population
tabaco snuff
temer fear
intenciones intentions
vacas cattle
columna column
modales manners
únicos only
jaula cage
violación violation
acerques zoom in
almacén store
confundido confused
ayudas aid
benny benny
aprende learn
ciertos some
edificios buildings
hablarme talk
fresca fresh
cambie change
cómoda comfortable
dignidad dignity
hayamos we
tomaremos take
grita shouts
medidas measures
ford ford
soltero single
fascinante fascinating
pesca fishing
deporte sport
enterado learned
quedarás stay
motel motel
west west
citas appointments
tiendas stores
trajeron brought
infancia childhood
jacob jacob
boy boy
perfume perfume
restos remains
advertencia warning
ingeniero engineer
molestes bother
testamento will
decírmelo tell me
confesión confession
altos high
temía feared
símbolo symbol
funcione work
miran look
tristeza sadness
cambiando changing
ensalada salad
fingir pretend
academia academy
progreso progress
ocuparé take care
perrito puppy
región region
utilizar use
vecindario neighborhood
cortado cut
expediente record
escenas Scenes
actúa acts
allen allen
duermo sleep
sindicato union
minas mines
socios partners
sector sector
mantente stay
guantes gloves
otoño fall
verdes green
corredor corridor
norman norman
logró did
amada beloved
obligado bound
acostumbrado used
lleguen arrive
objetos objects
enterrado buried
ave bird
pandilla gang
formar form
encontrarme meet
buscarla search
love love
preso prisoner
crecido grown
entramos we
bendición blessing
coca coca
seguiremos continue
pases passes
casco helmet
vaquero cowboy
oportunidades opportunities
disculparme apologize
suban rise
participar participate
boleto ticket
profunda deep
cambian change
demanda demand
ratón mouse
preguntes ask
sistemas systems
macho male
merezco deserve
bolsas bags
adivinar guess
canadá Canada
presa dam
eterna eternal
residencia residence
mientes lie
lucas lucas
creó created
período period
manzanas apples
jugada play
escúcheme listen to me
prepárense get ready
saqué I took
vomitar vomit
nicky nicky
doctores doctors
hacéis do
sexuales sexual
cállese shut up
embajada embassy
cometer commit
necesitaré need
capa layer
niñera nanny
marzo March
reconoce recognizes
sonny sonny
conviene should
hacerla make
niega denies
estaríamos would
funcionan work
balón ball
cenizas ash
presentación presentation
muchachas Girls
preocupación concern
llora cries
docena dozen
nieto grandson
jugamos play
alfombra carpet
imaginé imagined
sordo deaf
marcos frameworks
lanzar launch
simpático sympathetic
incluyendo including
naves ships
hombros shoulders
pegado glued
empiezas start
estatua statue
susto scare
ola wave
retraso delay
ganando winning
conozca know
compraré buy
masa mass
subiendo up
creído believed
sorprendido surprised
empiezan begin
gota drop
romance Romance
agarrar grab
equivoca wrong
comando command
decías you said
sobra surplus
jamie jamie
besos kisses
sabiendo knowing
trajes costumes
bondad goodness
custodia custody
plástico plastic
actuando acting
sígueme follow me
extremo end
retiro retirement
festival festival
lea read
zapato shoe
estudiando studying
economía economy
aumento increase
terrorista terrorist
furioso furious
cuyo which
juguete toy
teddy teddy
terribles terrible
heroína heroin
adn DNA
cuánta how
ralph ralph
quinto fifth
ayúdeme help me
milord milord
fines end
productos products
páginas pages
muchísimas many
prepárate get ready
vodka vodka
bajen down
suceda happen
tiró shot
robot robot
pulso pulse
enormes enormous
testimonio testimony
prometes Promise
estatal state
evento event
ataúd coffin
esperad wait
hágalo do
crece grows
baby baby
tenerte have you
ocurrirá occur
black black
casarnos married
saluda Yours
bonitos beautiful
temor fear
contarle tell
junior junior
suplico beg
quisieras want
administración administration
atender meet
físico physical
consejos tips
teme fears
psiquiatra psychiatrist
petición request
equivoqué wrong
campeonato championship
avenida avenue
eternidad eternity
abandonó left
escoger choose
cobrar charge
vigilando monitoring
representante representative
mencionar mention
repugnante disgusting
británico British
recientemente recently
chaval boy
invisible invisible
demuestra shows
seguí followed
deberá be
consigues get
bruno bruno
colin colin
volverán back
cazador hunter
muelle spring
vera edge
fanny fanny
whoa whoa
ópera opera
sucederá happen
sombras shades
cirugía surgery
sos sos
cooper cooper
termino term
juramento oath
impacto impact
arruinado ruined
dejara leave
infantil infant
trasera back
pesada heavy
postre dessert
pague pay
brooklyn brooklyn
matas plants
saldré go out
comentarios Comment
jefes heads
retrato portrait
olas surf
ofrecer offer
concepto concept
rojas red
pluma pen
oxígeno oxygen
camiones trucks
chance chance
dió gave
jodan Fuck
consiga get
brasil Brazil
causar cause
patatas potatoes
sacarlo out
asientos seating
permitiré let
enciende lights
pintar paint
trabajó worked
ocurriendo happening
autorización authorization
mitch mitch
copias copies
condena conviction
firmado signed
opina view
dejarás leave
pavo turkey
diego diego
jin jin
all all
camaradas comrades
hill hill
ropas clothes
salve save
callado silent
guerreros warriors
bienes goods
tomaron took
dibujos drawings
derek derek
contarte tell
nazis Nazis
steven steven
hacernos us
esperabas expected
rusa Russian
líos trouble
patético pathetic
pagas pay
pensión pension
aterrizar land
metí got
encontrarte find
marte Mars
golpea hits
juguetes toys
despejado clear
ooh ooh
gravedad gravity
habrás you have
aparato apparatus
extranjeros foreign
desperté woke up
vince vince
divertida fun
mantequilla butter
debilidad weakness
tensión tension
cervezas beer
bajando down
trenes trains
préstamo loan
vencido defeated
miró looked
janet janet
mâs more
pechos breasts
gimnasio gym
herr Herr
use use
liga league
artes arts
porno porn
odiaba hated
elige choose
fruta fruit
fase phase
hall hall
probarlo test
desean want
bailarina ballerina
humilde humble
sospecha suspicion
sobrina niece
dejadme let me
enteré learned
bush bush
autopista highway
feria fair
cartel poster
enseñado taught
cuadros Tables
estadounidenses U.S.
bebidas beverages
dejaba left
observa notes
egipto Egypt
ponerlo put
saliste went out
invitó invited
sentirme feel
créame believe me
robando stealing
vic vic
sabremos know
suelto loose
duros hard
muevan move
documento document
próximos next
green green
acuerda agrees
kennedy kennedy
llegaré will arrive
profesionales professional
detenerlo stop
convencer convince
pañuelo handkerchief
amables kind
hicieras hicieras
gus gus
decidimos decided
sigas follow
origen origin
jódete fuck you
neil neil
disfruta enjoy
mantengan maintain
buddy buddy
quema burning
atreve dares
anthony anthony
mercancía commodity
detuvo stopped
sangrando bleeding
combinación combination
adulto adult
piensen think
víctor victor
sammy sammy
andas bier
horario schedule
ilusión delusion
civilización civilization
judy judy
gatillo trigger
comió ate
engañado cheated
dirán say
realizar do
materia matter
acento accent
queria wanted
traen bring
freddy freddy
oírme hear
sid sid
cambiará change
refuerzos reinforcement
brillantes bright
muertes deaths
grabación recording
giro turn
habilidades skills
desafío challenge
levante east
elefante elephant
dennis dennis
luis luis
volvieron back
eléctrica electrical
deseaba wanted
cintas tapes
pierda lose
revistas magazines
chofer driver
informado informed
digno worthy
tragos drinks
violento violent
vano vain
negras Black
positivo positive
escapa escapes
editor editor
diarios daily
casé married
esconde hides
toalla towel
vestida dressed
hadas Fairy
canalla cad
inconsciente unconscious
amanda amanda
orilla shore
enseñarte show
burro donkey
horribles horrible
oyeron heard
cubrir cover
dolores pain
mafia mafia
escuelas schools
autor author
plena full
tenis tennis
caen fall
soñar dream
imaginaba imagined
locales local
ganancias earnings
registros records
licor liqueur
ofreció offered
nacer be born
buscarme look for
mezcla mixture
policial police
leonard leonard
robaste stole
ponemos we
interrumpir interrupt
entro entered
pides ask
fortaleza fortress
términos terms
dirigir direct
harían would
copas Drinking
mágico magic
desfile parade
observando observing
apagar turn off
equivoco wrong
pelotón platoon
patada kick
todavia still
lawrence lawrence
pida ask
metes metes
duermes sleep
michelle michelle
gane win
submarino submarine
danos damage
desafortunadamente unfortunately
case case
usarlo use
justamente just
seguida followed
marinero sailor
ned ned
jabón soap
rojos red
reuniones meetings
terriblemente terribly
diana Diana
desesperado desperate
comedor dining room
pesa weight
lápiz pencil
recibimos received
tortura torture
baker baker
rehenes Hostages
escala scale
blancas White
vivió lived
maletín briefcase
esconder hide
campana bell
importe amount
doña Dona
coja take
mentes minds
ejecución execution
tocas touch
echó cast
regresará back
graciosa funny
randy randy
sabio wise
cabra goat
agallas guts
nube cloud
pacífico Pacific
callejón alley
democracia democracy
dibujo drawing
führer Fuhrer
russell russell
involucrado involved
respiración breathing
iris iris
pegó hit
nathan nathan
buck buck
generalmente generally
artículos articles
sabiduría wisdom
ocultar hide
boletos Tickets
tubo tube
método method
ganaste won
capullo cocoon
gusano worm
pega paste
imbéciles imbeciles
encuentren are
conversar talk
causado caused
enfermedades diseases
toco play
normales normal
excepción exception
caiga fall
acabaron No more
conocida known
bahía bay
bond bond
dificil difficult
engaño deception
stone stone
jan jan
cambié changed
anderson anderson
ronnie ronnie
súbete climb
supieras knew
aguarda awaits
ocupados occupied
pondremos will
gesto gesture
tratamos try
negociar negotiate
jodas fuck
llegues get
encontrarán find
llenos full
pasaje passage
comprendido understood
cuero leather
enseña teaches
tiros shooting
narices nose
complejo complex
aman love
kansas Kansas
fenómeno phenomenon
estructura structure
escuchó heard
pasaré I will
guerras wars
young young
planos planes
sufre suffers
australia Australia
constantemente constantly
teléfonos phones
golpeado beaten
preguntan ask
mencionó mentioned
darás give
desarrollo development
aburrida boring
república republic
miguel miguel
bebes babies
horno oven
ríe laughs
instinto instinct
bomberos firefighters
supiste did you know
graves serious
entran enter
vampiro vampire
georgia Georgia
hans hans
ganan win
fuga leakage
cayendo falling
tarta cake
walker walker
quizas perhaps
ultima last
mel mel
enfadada angry
rumor rumor
vendió sold
miseria misery
disciplina discipline
estacionamiento parking
encontremos find
póngase please
pagué paid
torneo tournament
ríes laugh
hermosos beautiful
holmes holmes
dejarán will
hubiéramos we
procedimiento procedure
lectura reading
carbón coal
barney barney
mancha spot
sacarte you out
reconocimiento recognition
enero January
ajá aha
celosa jealous
cuarta quarter
quisiste wanted
plazo term
cálmese calm down
apártate Depart
repetir repeat
desorden disorder
intentan try
aguanto stand
esperé I waited
sacaré I will draw
resuelto resolved
escuchad listen
sintió felt
meterte get you
llegara come
comencé I started
poderosa powerful
vería would
calientes hot
oficialmente officially
quemar burn
alemana German
nido nest
terminará end
mueres die
queja complaint
super super
atacó attacked
cigarro cigarette
pasaste spent
usaba used
raras rare
franco frank
comunistas Communists
camiseta T-shirt
filosofía philosophy
times times
hannah hannah
potencial potential
salario wage
diosa goddess
revólver revolver
tiburón shark
confusión confusion
cocaína cocaine
sue sue
robé stole
tomemos take
verdaderos true
contiene contains
temporal temporary
donna donna
cortó cut
botones buttons
cuya which
compre buy
solar solar
colinas hills
lógica logic
distinta different
araña spider
ésas those
oyen hear
misterioso mysterious
alimentos food
creación creation
llevaría would
jess jess
meterse get
ovejas sheep
seca dry
caí I fell
profundidad depth
pensabas thought
leal loyal
compraste bought
cojo lame
angela angela
connie connie
enseñarle teach
apariencia appearance
perdemos lose
orgullosos proud
orquesta orchestra
riendo laughing
recuerdan remember
elliot elliot
dirías say
subió up
descanse rest
potencia power
compro buy
condicional conditional
llenar fill
detenga stop
consuelo comfort
franz franz
pesadillas nightmares
espantoso frightening
arreglaré fix
afecta affects
zorro fox
rodar roll
vidrio glass
fianza bond
saludar greet
vampiros Vampires
escucharme listen
raíces roots
inglesa English
busque search
sospechosos suspects
déjate let yourself
est est
afecto affection
mentí I lied
detiene stops
mágica Magic
antecedentes background
huyendo fleeing
comedia comedy
houston houston
alivio relief
regimiento regiment
explicaré explain
llevarse get
venden sold
retrasado delayed
duke duke
your your
motores engines
convertir convert
menuda fine
gastar spend
bernard bernard
enamorados love
echaré cast
jefa Head
investigando investigating
tracy tracy
collins collins
nicole nicole
jennifer jennifer
seda silk
considerar consider
soñé I dreamed
cuerdas strings
habitual habitual
considerando considering
preocupen worry
formación training
marcharse leave
olvidas forget
warren warren
pablo pablo
comercio trade
cosecha harvest
oficio office
síganme follow me
ethan ethan
eterno eternal
normas standards
hunter hunter
apetito appetite
bolsillos pockets
alejado away
team team
asegurar ensure
costará cost
rango rank
matthew matthew
promesas promises
matamos kill
eliminar remove
cristiano Christian
ordeno command
presentes present
mentirosa lying
may may
hablará talk
juzgado court
contactos contacts
quedaría would
presentimiento presentiment
deportes sports
maestros teachers
estrategia strategy
contentos happy
vinieras to come
monos monkeys
aterrizaje landing
largos long
distintas different
acusación charge
fraude fraud
despierte wake up
blake blake
gatito kitten
long long
tareas tasks
quemado burned
asesina murderess
sacas bags
edición edition
film film
encender turn on
astuto astute
increíblemente incredibly
grosero rude
conseguirlo get
craig craig
filmar film
morirás die
ausencia absence
secuencia sequence
necesidades needs
dosis dose
necesitaremos need
pueblos people
moriré die
danza dance
cuba Cuba
permíteme let me
tribu tribe
suiza Switzerland
máxima maximum
menores minor
rabia rage
gina Page
presta provides
faltaba missing
sandy sandy
secuestro kidnapping
compañías companies
criada maid
acostado lying
texto text
prométeme promise
ventas sales
admito I admit
rodilla knee
entras enter
pistolas guns
trampas traps
misa mass
débiles weak
dificultades difficulties
enfrentar face
novios boyfriends
islas islands
periodistas journalists
mensajero messenger
comentario comment
jovencito youngster
aproximadamente about
acompaño accompanied
alla Beyond
delicado delicate
dorado golden
dejad let
mostrarle show
altas high
kent kent
programas programs
ésos those
dispuesta ready
pervertido perverted
responda answer
meterme get involved
vencer overcome
champaña champagne
globo balloon
espiritual spiritual
detesto hate
resistir resist
micrófono microphone
conduciendo driving
moviendo moving
rodeado surrounded
controla controls
beneficios benefits
bendito blessed
naciones nations
comprobar check
clan clan
riesgos risks
extremadamente extremely
crean create
graduación graduation
maldad evil
quedaron were
evidente evident
nelson nelson
paro arrest
querrías would want
vendo sell
exposición exposure
helena helena
cierren close
moderno modern
separados separate
interesan interest
creciendo growing
lleves bring
bigote mustache
pantano swamp
mates math
matarla kill
pudiéramos we
tímido shy
despedirme goodbye
traerme bring me
shakespeare shakespeare
colgado hanging
terminaste finished
jessica jessica
deberes homework
parto delivery
envío shipping
soportarlo stand
christian christian
salva salvo
nocturno night
lámpara lamp
líderes leaders
parejas couples
vendré I will come
sabrán know
métodos methods
misiles missile
clásico classic
estarían would
mentido lied
conclusión conclusion
levantado up
liras Lit
lentes lenses
actualmente now
ciega blind
magnífica magnificent
exámenes tests
asociación association
fuentes sources
quedaremos stay
ordenado ordered
presupuesto budget
honesta honest
subtitle subtitle
agenda Agenda
barbara barbara
averiguarlo find out
cocinero cook
agujeros holes
objeción objection
beneficio benefit
padrino sponsor
atrapados trapped
distintos different
maurice maurice
estadio stadium
protege protects
valores values
perdieron lost
grasa fat
dinos dinos
oler smell
quitado taken
necesitará need
intentes try
pierden lose
unido united
dispare shoot
encantó loved
esperaremos wait
transmisión transmission
empuja pushes
anciana old woman
dieta diet
mikey mikey
brilla shines
sufrió suffered
sabré I know
aclarar clarify
oración prayer
dylan dylan
necesites need
explicarlo explain
tiroteo gunfire
pilotos pilots
ponía put
pito whistle
certeza certainty
pegar paste
aéreo air
donald donald
coro choir
radar radar
diamante diamond
cajón drawer
adecuada adequate
honrado honored
untranslated untranslated
incapaz unable
mirado looked
adams adams
pense I thought
numero number
disparando shooting
martillo hammer
literalmente literally
enano dwarf
armados armed
chistes jokes
apúrense hurry up
ayudaría help
duelo mourning
shh shh
jordan jordan
mueras die
comenzamos begin
beach beach
dados dice
kenny kenny
sucios dirty
salvación salvation
tenés you have
walt walt
lindas cute
devolveré refund
paula paula
lobos Wolves
star star
aprendiste learned
divertirse enjoy
ida going
philip philip
soñado dream
italianos Italian
volvía back
sirvo serve
ginebra gin
hacíamos did
liberar liberate
explosivos explosives
caroline caroline
concentración concentration
guy guy
galería gallery
joan joan
saquen take out
comenzado started
hambriento hungry
borracha drunk
ordenador computer
preferido favorite
justa just
jungla jungle
arranca start
moderna modern
dejarle let
bud bud
matarnos kill
invita invites
ofrezco offer
that That
famosos famous
abby abby
manual manual
profesores teachers
brigada brigade
eche take
directa direct
presentó presented
griego Greek
for for
aves poultry
mandado sent
federales federal
tirando pulling
shaw shaw
christopher christopher
maneja handles
quitó removed
detengan stop
tuyas yours
bájate get off
haciéndolo making
estarlo pregnant
olvidarlo forget
logré I managed
informar report
probando testing
ancianos elderly
eeuu usa
romeo Romeo
actividades activities
continuación continuation
chimenea chimney
little little
frankenstein frankenstein
excusas excuses
cuentan have
mientas tools
municiones ammunition
dedica dedicated
encontraba was
juzgar judge
seriamente seriously
lance throw
águila eagle
cañones guns
lane lane
obispo bishop
déjelo let
harvard harvard
global global
satélite satellite
sylvia sylvia
bién also
vigilar watch
lloyd lloyd
bla blah
receta recipe
mansión mansion
dorothy dorothy
elementos elements
ocasiones times
pisos story
rapido fast
busqué I looked
envíe send
pinturas paintings
metiste got involved
cogió took
moore moore
superar overcome
lees read
atmósfera atmosphere
avisar alert
tocaba touch
alimentar feed
independiente independent
asesinada killed
baños toilets
diremos say
aplauso applause
retirada withdrawal
colonia colony
brandy brandy
murphy murphy
instrumento instrument
conspiración conspiracy
odian hate
árabe Arabic
polla cock
aaron aaron
hoia hoia
suite suite
acompañe accompany
watson watson
matemáticas mathematics
inteligentes Smart
trataré try
pásame pass me
posiciones positions
disposición provision
kurt kurt
eiia EIIA
rebeldes rebels
alcanza reaches
calcetines socks
granjero farmer
déjanos let us
siguientes following
adolescente teen
traerá will
vapor vapor
barro mud
presentarte introduce
vulgar vulgar
aca here
sagrada sacred
hígado liver
valioso valuable
escriba type
modelos models
tales such
precios prices
lola lola
saludable healthy
mario mario
votar vote
oculta hidden
divina divine
criado servant
torpe clumsy
ian ian
oriente east
candidato candidate
fuéramos we were
corea chorea
pavos turkeys
ocupo take care
owen owen
amamos love
cordero lamb
cuide care
aquél that
huéspedes Guests
hablen talk
dentista dentist
eve eve
shock shock
subido up
literatura literature
pagando paying
servido used
saludo greeting
molestado troubled
tejado roof
confías trust
hueles smell
divino divine
homosexual homosexual
sentiría feel
quejas complaints
callar shut up
encantará love
deténgase stop
tabla table
island island
tremendo tremendous
serpientes snakes
cometí I made
hare ago
levantarse rise
observar observe
keith keith
cargado loaded
contratar hire
escolar school
mosca fly
episodio episode
enseño teach
cohete rocket
jodidos fucking
pretende intended
pop pop
continua continuous
estuviese was
lotería lottery
molestando annoying
sufriendo suffering
lastimado hurt
senor Mr.
ballet ballet
manta blanket
honorable honorable
dulzura sweetness
indica indicates
doloroso painful
cometió committed
locas crazy
regresé back
bésame kiss
lidiar deal
principales main
angel Angel
andan walk
graham graham
garantizo guarantee
drama drama
confesar confess
